"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.681394480E-1,4.905286431E-2,1.030947590E1,2.620738983E0
7.704926770E-1,-3.170489892E-2,1.027956581E1,2.585444927E0
7.728459060E-1,-1.052841991E-1,1.019701385E1,2.517847538E0
7.751991350E-1,-1.746760458E-1,1.009591675E1,2.459821701E0
7.775523640E-1,-2.344966233E-1,1.001815033E1,2.407179594E0
7.799055940E-1,-3.044866920E-1,9.926624298E0,2.387438774E0
7.822588230E-1,-3.732803464E-1,9.830313683E0,2.334198475E0
7.846121040E-1,-4.295116663E-1,9.791430473E0,2.300100803E0
7.869653330E-1,-5.473581553E-1,9.771091461E0,2.274976015E0
7.893185620E-1,-6.418746710E-1,9.793823242E0,2.263610125E0
7.916717910E-1,-7.369893789E-1,9.826126099E0,2.261815548E0
7.940250210E-1,-8.374879360E-1,9.878170013E0,2.269592285E0
7.963782500E-1,-9.415757060E-1,9.924830437E0,2.253440619E0
7.987314790E-1,-1.055832982E0,9.976275444E0,2.242074728E0
8.010847080E-1,-1.155733347E0,1.001815033E1,2.216351986E0
8.034379370E-1,-1.278963685E0,1.001635551E1,2.190629244E0
8.057911660E-1,-1.372882009E0,1.001515961E1,2.140978098E0
8.081444480E-1,-1.481157184E0,9.976275444E0,2.125424623E0
8.104976770E-1,-1.593619823E0,9.936196327E0,2.061416626E0
8.128509060E-1,-1.672582984E0,9.901499748E0,1.998605132E0
8.152041350E-1,-1.780260086E0,9.876375198E0,1.920240164E0
8.175573640E-1,-1.864008784E0,9.870393753E0,1.823330879E0
8.199105940E-1,-1.985444546E0,9.854242325E0,1.735394597E0
8.222638230E-1,-2.073979139E0,9.833903313E0,1.662413478E0
8.246170520E-1,-2.182254314E0,9.813564301E0,1.631905079E0
8.269702810E-1,-2.285743713E0,9.778269768E0,1.578066587E0
8.293235620E-1,-2.388635159E0,9.723833084E0,1.514656782E0
8.316767910E-1,-2.525026083E0,9.674779892E0,1.493719578E0
8.340300210E-1,-2.605185747E0,9.654440880E0,1.453639746E0
8.363832500E-1,-2.703291416E0,9.614959717E0,1.404586911E0
8.387364790E-1,-2.819941521E0,9.556335449E0,1.341177106E0
8.410897080E-1,-2.937189817E0,9.512067795E0,1.286740422E0
8.434429370E-1,-3.068794966E0,9.491130829E0,1.232303619E0
8.457961660E-1,-3.190829039E0,9.470791817E0,1.182652593E0
8.481494480E-1,-3.332005501E0,9.440283775E0,1.137787223E0
8.505026770E-1,-3.469592810E0,9.471988678E0,1.073180914E0
8.528559060E-1,-3.610769272E0,9.441479683E0,1.033101201E0
8.552091350E-1,-3.762115479E0,9.468997002E0,1.016351461E0
8.575623640E-1,-3.918845177E0,9.491130829E0,9.948160052E-1
8.599155940E-1,-4.037290096E0,9.480362892E0,1.007378340E0
8.622688230E-1,-4.211966038E0,9.492925644E0,9.858429432E-1
8.646220520E-1,-4.307679176E0,9.497113228E0,1.018146038E0
8.669752810E-1,-4.436293125E0,9.524630547E0,1.030110121E0
8.693285620E-1,-4.545764923E0,9.552147865E0,1.037886858E0
8.716817910E-1,-4.622334957E0,9.580264091E0,1.046261668E0
8.740350210E-1,-4.697709084E0,9.583852768E0,1.021137118E0
8.763882500E-1,-4.778466702E0,9.607182503E0,1.034297585E0
8.787414790E-1,-4.845465660E0,9.582656860E0,1.062413216E0
8.810947080E-1,-4.877768993E0,9.496515274E0,1.086341500E0
8.834479370E-1,-4.873581409E0,9.406186104E0,1.158724308E0
8.858011660E-1,-4.887340069E0,9.287142754E0,1.231705427E0
8.881543960E-1,-4.868197441E0,9.158528328E0,1.299900889E0
