"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.691492832E1,-4.716253281E0,3.070589542E0,7.967501163E0
8.691728186E1,-4.655834675E0,3.062214851E0,8.026124954E0
8.691963535E1,-4.662415028E0,3.095714331E0,8.106883049E0
8.692198890E1,-4.640281200E0,3.153740168E0,8.173882484E0
8.692434238E1,-4.674378872E0,3.172882795E0,8.231907845E0
8.692669593E1,-4.700101852E0,3.235694408E0,8.312067986E0
8.692904942E1,-4.786841869E0,3.278167009E0,8.373085022E0
8.693140296E1,-4.887938499E0,3.330210924E0,8.447860718E0
8.693375645E1,-4.984847546E0,3.396611691E0,8.522636414E0
8.693610999E1,-5.094917774E0,3.458226919E0,8.578269005E0
8.693846353E1,-5.229514122E0,3.509672642E0,8.671588898E0
8.694081702E1,-5.373681545E0,3.561716557E0,8.746364594E0
8.694317056E1,-5.493920803E0,3.594019651E0,8.825327873E0
8.694552405E1,-5.622535229E0,3.631706476E0,8.866603851E0
8.694787759E1,-5.748157978E0,3.687937975E0,8.921639442E0
8.695023108E1,-5.857031822E0,3.696312666E0,8.939585686E0
8.695258462E1,-5.970690727E0,3.686143398E0,8.928219795E0
8.695493817E1,-6.065207005E0,3.694518089E0,8.922237396E0
8.695729166E1,-6.145965099E0,3.693919897E0,8.911469460E0
8.695964520E1,-6.264409542E0,3.683152199E0,8.909674644E0
8.696199869E1,-6.348756790E0,3.672384501E0,8.865407944E0
8.696435223E1,-6.433103561E0,3.666402578E0,8.816354752E0
8.696670572E1,-6.513861656E0,3.651447296E0,8.819944382E0
8.696905926E1,-6.602993965E0,3.640679598E0,8.799605370E0
8.697141275E1,-6.697510719E0,3.634697676E0,8.774480820E0
8.697376629E1,-6.759125710E0,3.648456335E0,8.749356270E0
8.697611978E1,-6.835097790E0,3.638286829E0,8.743373871E0
8.697847332E1,-6.896114826E0,3.618546009E0,8.733204842E0
8.698082686E1,-6.953542709E0,3.656233072E0,8.727222443E0
8.698318035E1,-7.024729252E0,3.660420418E0,8.740383148E0
8.698553390E1,-7.039085865E0,3.669991732E0,8.754739761E0
8.698788739E1,-7.081558704E0,3.664607763E0,8.749356270E0
8.699024093E1,-7.119843960E0,3.697509289E0,8.729017258E0
8.699259442E1,-7.129415035E0,3.721437454E0,8.714659691E0
