"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.505820770E-1,4.963133857E-2,7.288935184E-1,3.234436214E-1
6.529356180E-1,5.833591148E-2,7.036960125E-1,3.310792148E-1
6.552891600E-1,6.704048812E-2,6.726955175E-1,3.397837877E-1
6.576427020E-1,7.330167294E-2,6.415423155E-1,3.498627543E-1
6.599962430E-1,8.078455180E-2,6.093201637E-1,3.648285270E-1
6.623497850E-1,8.704573661E-2,5.709894896E-1,3.784198761E-1
6.647033270E-1,9.575030953E-2,5.305208564E-1,3.982724249E-1
6.670568680E-1,1.043021679E-1,4.874561131E-1,4.182776511E-1
6.694104100E-1,1.130067408E-1,4.408790171E-1,4.417952895E-1
6.717639520E-1,1.191152185E-1,3.943018913E-1,4.628695250E-1
6.741174930E-1,1.265980899E-1,3.500154912E-1,4.876088202E-1
6.764710350E-1,1.363716573E-1,3.083251417E-1,5.112791657E-1
6.788245770E-1,1.473668963E-1,2.713688910E-1,5.347967744E-1
6.811781180E-1,1.609582454E-1,2.403683960E-1,5.583143830E-1
6.835317120E-1,1.695101112E-1,2.177670449E-1,5.757235289E-1
6.858852540E-1,1.805053651E-1,2.034121305E-1,5.894675851E-1
6.882387960E-1,1.890572309E-1,1.963873953E-1,6.018372774E-1
6.905923370E-1,1.937913001E-1,1.977618039E-1,6.140542030E-1
6.929458790E-1,1.973036677E-1,2.086043358E-1,6.215370893E-1
6.952994210E-1,1.983726472E-1,2.289150059E-1,6.262711287E-1
6.976529620E-1,1.980672181E-1,2.589992285E-1,6.297835112E-1
7.000065040E-1,2.002051920E-1,2.950392365E-1,6.334486008E-1
7.023600460E-1,1.986780763E-1,3.405473530E-1,6.306998134E-1
7.047135870E-1,1.945548505E-1,3.968980014E-1,6.268820167E-1
7.070671290E-1,1.881409585E-1,4.592044353E-1,6.154286265E-1
7.094206710E-1,1.791309565E-1,5.273138881E-1,6.039752364E-1
7.117742120E-1,1.664558798E-1,5.992411375E-1,5.876350403E-1
7.141277540E-1,1.476723254E-1,6.708629727E-1,5.686988235E-1
7.164812960E-1,1.276670843E-1,7.485933304E-1,5.448757410E-1
7.188348370E-1,1.027750522E-1,8.251019120E-1,5.196782947E-1
7.211883790E-1,8.032641560E-2,8.979454637E-1,4.934118688E-1
7.235419730E-1,5.543438718E-2,9.684983492E-1,4.659237564E-1
7.258955140E-1,2.932066843E-2,1.037829518E0,4.382829070E-1
7.282490560E-1,5.803049076E-3,1.102273822E0,4.107947946E-1
7.306025980E-1,-1.527118124E-2,1.163205862E0,3.857500553E-1
7.329561390E-1,-3.527642787E-2,1.220472813E0,3.680354655E-1
7.353096810E-1,-5.146388337E-2,1.271936655E0,3.504736125E-1
7.376632230E-1,-7.009471953E-2,1.313627005E0,3.353551328E-1
7.400167640E-1,-8.276980370E-2,1.356691718E0,3.264978528E-1
7.423703060E-1,-9.529217333E-2,1.391510010E0,3.237490356E-1
7.447238480E-1,-1.091889441E-1,1.421441555E0,3.220692277E-1
7.470773890E-1,-1.229330078E-1,1.441752195E0,3.243598938E-1
7.494309310E-1,-1.380514801E-1,1.457328796E0,3.277195692E-1
7.517844730E-1,-1.556133330E-1,1.465728045E0,3.347443044E-1
7.541380140E-1,-1.705790907E-1,1.468018651E0,3.431434333E-1
7.564915560E-1,-1.869192570E-1,1.466796994E0,3.526115716E-1
7.588450980E-1,-2.017323077E-1,1.457176089E0,3.585673273E-1
7.611986390E-1,-2.142546773E-1,1.445264578E0,3.671191931E-1
7.635521810E-1,-2.254026383E-1,1.430909753E0,3.755183518E-1
7.659057230E-1,-2.328855246E-1,1.414111376E0,3.852919042E-1
7.682592640E-1,-2.415900975E-1,1.398534775E0,3.950654566E-1
7.706128580E-1,-2.478512824E-1,1.379445791E0,4.060607255E-1
7.729664000E-1,-2.504473627E-1,1.365090966E0,4.133908749E-1
7.753199410E-1,-2.516690791E-1,1.354248405E0,4.243861437E-1
7.776734830E-1,-2.506000996E-1,1.338824511E0,4.343124032E-1
7.800270250E-1,-2.493783981E-1,1.331647038E0,4.440859556E-1
7.823805660E-1,-2.495311052E-1,1.324622273E0,4.564556181E-1
7.847341080E-1,-2.496838123E-1,1.318666577E0,4.662291706E-1
7.870876500E-1,-2.559449971E-1,1.313932419E0,4.735593498E-1
7.894411910E-1,-2.622061968E-1,1.309045672E0,4.782933891E-1
7.917947330E-1,-2.709107697E-1,1.303089857E0,4.807367921E-1
7.941482750E-1,-2.770192325E-1,1.296981454E0,4.805840850E-1
